Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
All Students,All Students,"2,014",4 year August,"74,948",56923,75.9,52159,69.6,91.6,15658,20.9,27.5,36501,48.7,64.1,4764,6.4,8.4,11398,15.2,5614,7.5,351,0.5,653,0.9
All Students,All Students,"2,013",4 year August,"73,154",54324,74.3,50271,68.7,92.5,14759,20.2,27.2,35512,48.5,65.4,4053,5.5,7.5,11991,16.4,5734,7.8,428,0.6,569,0.8
All Students,All Students,"2,012",4 year August,"74,172",54161,73.0,50580,68.2,93.4,13809,18.6,25.5,36771,49.6,67.9,3581,4.8,6.6,12603,17.0,6270,8.5,467,0.6,482,0.6
All Students,All Students,"2,011",4 year August,"74,363",52409,70.5,49364,66.4,94.2,13639,18.3,26.0,35725,48.0,68.2,3045,4.1,5.8,13927,18.7,6664,9.0,741,1.0,484,0.7
All Students,All Students,"2,010",4 year August,"75,524",51681,68.4,48563,64.3,94.0,13421,17.8,26.0,35142,46.5,68.0,3118,4.1,6.0,15127,20.0,7309,9.7,781,1.0,484,0.6
All Students,All Students,"2,009",4 year August,"78,721",51970,66.0,49258,62.6,94.8,13535,17.2,26.0,35723,45.4,68.7,2712,3.4,5.2,16577,21.1,8363,10.6,948,1.2,693,0.9
All Students,All Students,"2,008",4 year August,"79,719",51573,64.7,49004,61.5,95.0,13264,16.6,25.7,35740,44.8,69.3,2569,3.2,5.0,17063,21.4,9096,11.4,1093,1.4,781,1.0
All Students,All Students,"2,007",4 year August,"79,476",52069,65.5,44216,55.6,84.9,13077,16.5,25.1,31139,39.2,59.8,7853,9.9,15.1,15403,19.4,9631,12.1,1000,1.3,1272,1.6
All Students,All Students,"2,006",4 year August,"78,346",51006,65.1,40151,51.2,78.7,13001,16.6,25.5,27150,34.7,53.2,10855,13.9,21.3,14975,19.1,9440,12.0,1222,1.6,1664,2.1
All Students,All Students,"2,005",4 year August,"77,378",48499,62.7,35718,46.2,73.6,12617,16.3,26.0,23101,29.9,47.6,12780,16.5,26.4,16464,21.3,9155,11.8,1336,1.7,1924,2.5
All Students,All Students,"2,004",4 year August,"75,009",45490,60.7,31976,42.6,70.3,12724,17.0,28.0,19252,25.7,42.3,13522,18.0,29.7,17669,23.6,10126,13.5,No Data,No Data,No Data,No Data
All Students,All Students,"2,014",4 year June,"74,948",54470,72.7,50339,67.2,92.4,15582,20.8,28.6,34757,46.4,63.8,4131,5.5,7.6,13845,18.5,5614,7.5,357,0.5,653,0.9
All Students,All Students,"2,013",4 year June,"73,154",52018,71.1,48476,66.3,93.2,14676,20.1,28.2,33800,46.2,65.0,3542,4.8,6.8,14282,19.5,5734,7.8,442,0.6,569,0.8
All Students,All Students,"2,012",4 year June,"74,172",51910,70.0,48792,65.8,94.0,13751,18.5,26.5,35041,47.2,67.5,3118,4.2,6.0,14844,20.0,6271,8.5,474,0.6,482,0.6
All Students,All Students,"2,011",4 year June,"74,363",49999,67.2,47388,63.7,94.8,13564,18.2,27.1,33824,45.5,67.6,2611,3.5,5.2,16319,21.9,6666,9.0,754,1.0,484,0.7
All Students,All Students,"2,010",4 year June,"75,524",48449,64.2,45774,60.6,94.5,13287,17.6,27.4,32487,43.0,67.1,2675,3.5,5.5,18348,24.3,7311,9.7,787,1.0,484,0.6
All Students,All Students,"2,009",4 year June,"78,721",48236,61.3,45989,58.4,95.3,13400,17.0,27.8,32589,41.4,67.6,2247,2.9,4.7,20246,25.7,8370,10.6,1004,1.3,693,0.9
All Students,All Students,"2,008",4 year June,"79,719",48173,60.4,46024,57.7,95.5,13175,16.5,27.3,32849,41.2,68.2,2149,2.7,4.5,20385,25.6,9131,11.5,1136,1.4,781,1.0
All Students,All Students,"2,007",4 year June,"79,476",48380,60.9,42106,53.0,87.0,12958,16.3,26.8,29148,36.7,60.2,6274,7.9,13.0,18960,23.9,9740,12.3,1060,1.3,1233,1.6
All Students,All Students,"2,006",4 year June,"78,346",47786,61.0,38570,49.2,80.7,12885,16.4,27.0,25685,32.8,53.8,9216,11.8,19.3,18137,23.1,9497,12.1,1222,1.6,1665,2.1
All Students,All Students,"2,005",4 year June,"77,378",45615,59.0,34489,44.6,75.6,12512,16.2,27.4,21977,28.4,48.2,11125,14.4,24.4,19343,25.0,9157,11.8,1339,1.7,1924,2.5
All Students,All Students,"2,004",4 year June,"75,009",42313,56.4,30652,40.9,72.4,12592,16.8,29.8,18060,24.1,42.7,11661,15.5,27.6,20844,27.8,10127,13.5,1409,1.9,309,0.4
All Students,All Students,"2,003",4 year June,"73,888",38990,52.8,27445,37.1,70.4,11356,15.4,29.1,16089,21.8,41.3,11545,15.6,29.6,21353,28.9,11704,15.8,1113,1.5,633,0.9
All Students,All Students,"2,002",4 year June,"74,511",36552,49.1,25098,33.7,68.7,9435,12.7,25.8,15663,21.0,42.9,11489,15.4,31.4,21721,29.2,13758,18.5,1010,1.4,1102,1.5
All Students,All Students,"2,001",4 year June,"74,143",34503,46.5,22197,29.9,64.3,9249,12.5,26.8,12948,17.5,37.5,12333,16.6,35.7,21094,28.5,16337,22.0,1895,2.6,294,0.4
All Students,All Students,"2,013",5 year August,"72,882",57432,78.8,52312,71.8,91.1,14654,20.1,25.5,37658,51.7,65.6,5120,7.0,8.9,5248,7.2,8283,11.4,1171,1.6,725,1.0
